epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,46.5549,0.84051,1.46438,0.99171,0.9983,0.5,0.49585,0.45858,0.72719,2.88614,0.82897,0.00101651,0.00101651,0.00101651
23,48.433,0.81752,1.3223,1.01027,0.9983,0.5,0.49585,0.45858,0.72719,2.88614,0.82897,0.00102721,0.00102721,0.00102721
24,50.4081,0.78379,1.3252,1.01039,0.9983,0.5,0.49585,0.45858,0.72719,2.88614,0.82897,0.00103474,0.00103474,0.00103474
25,52.34,1.00003,1.65,1.18592,0.9983,0.5,0.49585,0.45858,0.72719,2.88614,0.82897,0.0010391,0.0010391,0.0010391
26,54.488,1.01297,1.94907,1.20213,0.97774,0.5,0.49585,0.45858,0.68525,2.87396,0.84761,0.00101,0.00101,0.00101
27,57.2077,0.91394,1.45941,1.03086,0.97774,0.5,0.49585,0.45858,0.68525,2.87396,0.84761,0.0009704,0.0009704,0.0009704
28,59.5718,0.96668,1.58468,1.13019,0.97774,0.5,0.49585,0.45858,0.68525,2.87396,0.84761,0.0009308,0.0009308,0.0009308
29,61.62,0.80745,1.34093,0.97954,0.97774,0.5,0.49585,0.45858,0.68525,2.87396,0.84761,0.0008912,0.0008912,0.0008912
30,63.7178,1.02329,1.54751,1.08824,0.97789,0.5,0.49757,0.42234,0.72135,2.51185,0.84953,0.0008516,0.0008516,0.0008516
31,65.7761,0.80052,1.38332,0.97194,0.97789,0.5,0.49757,0.42234,0.72135,2.51185,0.84953,0.000812,0.000812,0.000812
32,67.8826,0.6884,1.35662,0.98688,0.97789,0.5,0.49757,0.42234,0.72135,2.51185,0.84953,0.0007724,0.0007724,0.0007724
33,69.8189,0.87778,1.48721,1.02745,0.97789,0.5,0.49757,0.42234,0.72135,2.51185,0.84953,0.0007328,0.0007328,0.0007328
34,71.9381,1.00546,1.63332,1.12937,0.98204,0.5,0.53921,0.49577,0.6799,2.04904,0.81254,0.0006932,0.0006932,0.0006932
35,73.8803,0.88576,1.55516,1.10534,0.98204,0.5,0.53921,0.49577,0.6799,2.04904,0.81254,0.0006536,0.0006536,0.0006536
36,75.8956,0.85157,1.36303,1.02589,0.98204,0.5,0.53921,0.49577,0.6799,2.04904,0.81254,0.000614,0.000614,0.000614
37,77.9271,0.88576,1.63328,1.03441,0.98204,0.5,0.53921,0.49577,0.6799,2.04904,0.81254,0.0005744,0.0005744,0.0005744
38,79.9888,0.87051,1.39991,1.0115,0.9825,0.5,0.58841,0.51584,0.62084,1.8926,0.77226,0.0005348,0.0005348,0.0005348
39,82.094,0.75382,1.56784,0.9936,0.9825,0.5,0.58841,0.51584,0.62084,1.8926,0.77226,0.0004952,0.0004952,0.0004952
40,84.1236,0.86469,1.84126,1.03818,0.9825,0.5,0.58841,0.51584,0.62084,1.8926,0.77226,0.0004556,0.0004556,0.0004556
41,86.1449,1.00309,2.01748,1.03638,0.9825,0.5,0.58841,0.51584,0.62084,1.8926,0.77226,0.000416,0.000416,0.000416
42,88.1303,0.57812,1.14397,0.90123,1,0.7367,0.81643,0.58904,0.59415,1.92923,0.77101,0.0003764,0.0003764,0.0003764
43,90.2236,0.59697,1.30742,0.85587,1,0.7367,0.81643,0.58904,0.59415,1.92923,0.77101,0.0003368,0.0003368,0.0003368
44,92.2607,0.74346,1.29705,0.99002,1,0.7367,0.81643,0.58904,0.59415,1.92923,0.77101,0.0002972,0.0002972,0.0002972
45,94.2991,0.72839,1.28114,0.93333,1,0.7367,0.81643,0.58904,0.59415,1.92923,0.77101,0.0002576,0.0002576,0.0002576
46,96.3173,0.60061,1.27298,0.8919,1,0.73733,0.85611,0.62131,0.55096,1.78504,0.75228,0.000218,0.000218,0.000218
47,98.4402,0.72277,1.35486,0.90603,1,0.73733,0.85611,0.62131,0.55096,1.78504,0.75228,0.0001784,0.0001784,0.0001784
48,100.484,0.7205,1.34736,0.93036,1,0.73733,0.85611,0.62131,0.55096,1.78504,0.75228,0.0001388,0.0001388,0.0001388
49,102.484,0.71083,1.38583,0.9514,1,0.73733,0.85611,0.62131,0.55096,1.78504,0.75228,9.92e-05,9.92e-05,9.92e-05
50,104.616,0.72937,1.33522,0.98351,1,0.74228,0.995,0.73389,0.52617,1.66,0.74484,5.96e-05,5.96e-05,5.96e-05
